sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
1117201,0.13,0.3601,0.0,0.3601,0.0566,0.0554,0.398,0.0,0.5085,0.0,0.5085,0.0,0.0,0.4915,0.4132,0.5868
1117202,0.1369,0.3497,0.0,0.3497,0.0604,0.0532,0.3997,0.0,0.4983,0.0,0.4983,0.0,0.0,0.5017,0.4282,0.5718
1117203,0.1344,0.3627,0.0,0.3627,0.0582,0.0545,0.3902,0.0,0.5076,0.0,0.5076,0.0,0.0,0.4924,0.4191,0.5809
1117204,0.1346,0.3325,0.0,0.3325,0.0607,0.0506,0.4216,0.0,0.4835,0.0,0.4835,0.0,0.0,0.5165,0.4363,0.5637
1117205,0.1263,0.3418,0.0,0.3418,0.0663,0.0496,0.416,0.0,0.4759,0.0,0.4759,0.0,0.0,0.5241,0.4439,0.5561
1117207,0.1266,0.3448,0.0,0.3448,0.0651,0.0505,0.413,0.0,0.4801,0.0,0.4801,0.0,0.0,0.5199,0.4399,0.5601
1117208,0.1241,0.3763,0.0,0.3763,0.0575,0.055,0.387,0.0,0.5079,0.0,0.5079,0.0,0.0,0.4921,0.4137,0.5863
1117209,0.1408,0.3309,0.0,0.3309,0.0651,0.0518,0.4115,0.0,0.4836,0.0,0.4836,0.0,0.0,0.5164,0.443,0.557
1117210,0.1433,0.3232,0.0,0.3232,0.0665,0.0512,0.4156,0.0,0.4785,0.0,0.4785,0.0,0.0,0.5215,0.4486,0.5514
1117211,0.136,0.3583,0.0,0.3583,0.0597,0.056,0.3901,0.0,0.5104,0.0,0.5104,0.0,0.0,0.4896,0.4179,0.5821
1117213,0.1239,0.3389,0.0,0.3389,0.0661,0.0473,0.4238,0.0,0.4686,0.0,0.4686,0.0,0.0,0.5314,0.448,0.552
1117214,0.1214,0.3538,0.0,0.3538,0.0635,0.05,0.4113,0.0,0.4797,0.0,0.4797,0.0,0.0,0.5203,0.4358,0.5642
1117215,0.1254,0.3688,0.0,0.3688,0.0604,0.0543,0.3911,0.0,0.5032,0.0,0.5032,0.0,0.0,0.4968,0.4203,0.5797
1117216,0.1273,0.3505,0.0,0.3505,0.0648,0.051,0.4064,0.0,0.4862,0.0,0.4862,0.0,0.0,0.5138,0.4366,0.5634
1117217,0.1264,0.3486,0.0,0.3486,0.0644,0.0505,0.4102,0.0,0.4836,0.0,0.4836,0.0,0.0,0.5164,0.4378,0.5622
1117218,0.1253,0.3487,0.0,0.3487,0.0634,0.0498,0.4128,0.0,0.4817,0.0,0.4817,0.0,0.0,0.5183,0.4379,0.5621
1117219,0.1247,0.4075,0.0,0.4075,0.0508,0.0622,0.3547,0.0,0.5427,0.0,0.5427,0.0,0.0,0.4573,0.3837,0.6163
1117220,0.1246,0.3602,0.0,0.3602,0.0629,0.0536,0.3987,0.0,0.4939,0.0,0.4939,0.0,0.0,0.5061,0.4269,0.5731
1117222,0.1277,0.3409,0.0,0.3409,0.0651,0.0485,0.4178,0.0,0.4771,0.0,0.4771,0.0,0.0,0.5229,0.4437,0.5563
1117224,0.1237,0.3433,0.0,0.3433,0.0678,0.0536,0.4116,0.0,0.4789,0.0,0.4789,0.0,0.0,0.5211,0.4394,0.5606
1117225,0.124,0.3337,0.0,0.3337,0.0691,0.0513,0.4218,0.0,0.4707,0.0,0.4707,0.0,0.0,0.5293,0.4465,0.5535
1117226,0.1312,0.361,0.0,0.361,0.0635,0.0547,0.3895,0.0,0.5051,0.0,0.5051,0.0,0.0,0.4949,0.4254,0.5746
1117229,0.1279,0.3353,0.0,0.3353,0.0649,0.053,0.4189,0.0,0.4736,0.0,0.4736,0.0,0.0,0.5264,0.444,0.556
1117230,0.1226,0.2878,0.0,0.2878,0.0739,0.0457,0.47,0.0,0.4305,0.0,0.4305,0.0,0.0,0.5695,0.4774,0.5226
1117231,0.1405,0.3476,0.0,0.3476,0.0643,0.0554,0.3921,0.0,0.5032,0.0,0.5032,0.0,0.0,0.4968,0.4305,0.5695
1117234,0.14,0.333,0.0,0.333,0.0632,0.0516,0.4122,0.0,0.4865,0.0,0.4865,0.0,0.0,0.5135,0.4397,0.5603
1117235,0.1417,0.3309,0.0,0.3309,0.0644,0.0511,0.412,0.0,0.4859,0.0,0.4859,0.0,0.0,0.5141,0.4418,0.5582
1117236,0.134,0.3589,0.0,0.3589,0.0586,0.0545,0.394,0.0,0.5064,0.0,0.5064,0.0,0.0,0.4936,0.42,0.58
1117237,0.1368,0.3422,0.0,0.3422,0.0629,0.0529,0.4052,0.0,0.4929,0.0,0.4929,0.0,0.0,0.5071,0.4341,0.5659
1117238,0.1363,0.3581,0.0,0.3581,0.0605,0.0559,0.3892,0.0,0.5089,0.0,0.5089,0.0,0.0,0.4911,0.4209,0.5791
1117239,0.131,0.3627,0.0,0.3627,0.0554,0.0538,0.3971,0.0,0.5054,0.0,0.5054,0.0,0.0,0.4946,0.4163,0.5837
1117240,0.1335,0.3599,0.0,0.3599,0.0575,0.0544,0.3946,0.0,0.5058,0.0,0.5058,0.0,0.0,0.4942,0.419,0.581
1117241,0.1266,0.3875,0.0,0.3875,0.048,0.055,0.3829,0.0,0.5219,0.0,0.5219,0.0,0.0,0.4781,0.398,0.602
1117242,0.135,0.3471,0.0,0.3471,0.0601,0.0524,0.4053,0.0,0.4933,0.0,0.4933,0.0,0.0,0.5067,0.4307,0.5693
1117243,0.1327,0.3646,0.0,0.3646,0.0571,0.0548,0.3908,0.0,0.5091,0.0,0.5091,0.0,0.0,0.4909,0.4162,0.5838
1117244,0.1318,0.3532,0.0,0.3532,0.0584,0.053,0.4036,0.0,0.4962,0.0,0.4962,0.0,0.0,0.5038,0.4248,0.5752
1117245,0.1353,0.3507,0.0,0.3507,0.062,0.0561,0.3959,0.0,0.5027,0.0,0.5027,0.0,0.0,0.4973,0.4242,0.5758
1117246,0.1301,0.3596,0.0,0.3596,0.0566,0.0522,0.4016,0.0,0.4995,0.0,0.4995,0.0,0.0,0.5005,0.4209,0.5791
1117247,0.1338,0.3507,0.0,0.3507,0.0608,0.0534,0.4011,0.0,0.4991,0.0,0.4991,0.0,0.0,0.5009,0.4264,0.5736
1117248,0.1319,0.3731,0.0,0.3731,0.0587,0.0571,0.3792,0.0,0.5163,0.0,0.5163,0.0,0.0,0.4837,0.4124,0.5876
1117249,0.1372,0.3506,0.0,0.3506,0.0625,0.0544,0.3953,0.0,0.5025,0.0,0.5025,0.0,0.0,0.4975,0.4278,0.5722
1117250,0.1319,0.3671,0.0,0.3671,0.057,0.0573,0.3867,0.0,0.5171,0.0,0.5171,0.0,0.0,0.4829,0.4088,0.5912
1117251,0.132,0.3442,0.0,0.3442,0.0594,0.0515,0.413,0.0,0.4925,0.0,0.4925,0.0,0.0,0.5075,0.4272,0.5728
1117301,0.1368,0.3321,0.0,0.3321,0.0578,0.0512,0.4222,0.0,0.4814,0.0,0.4814,0.0,0.0,0.5186,0.4385,0.5615
1117302,0.1379,0.3546,0.0,0.3546,0.0587,0.0552,0.3935,0.0,0.4994,0.0,0.4994,0.0,0.0,0.5006,0.4274,0.5726
1117303,0.1375,0.3274,0.0,0.3274,0.0636,0.0558,0.4157,0.0,0.4803,0.0,0.4803,0.0,0.0,0.5197,0.446,0.554
1117304,0.1408,0.3453,0.0,0.3453,0.0642,0.0589,0.3907,0.0,0.4965,0.0,0.4965,0.0,0.0,0.5035,0.4344,0.5656
1117305,0.141,0.3514,0.0,0.3514,0.0605,0.057,0.3902,0.0,0.5038,0.0,0.5038,0.0,0.0,0.4962,0.4281,0.5719
1117306,0.1334,0.3446,0.0,0.3446,0.0624,0.0581,0.4016,0.0,0.4936,0.0,0.4936,0.0,0.0,0.5064,0.4354,0.5646
