sa1,fp_alp,fp_lib,fp_nat,fp_lnp,fp_grn,fp_onp,fp_oth,tcp_alp,tcp_lib,tcp_nat,tcp_lnp,tcp_grn,tcp_onp,tcp_oth,tpp_alp,tpp_lnp
3101702,0.2932,0.3224,0.0,0.3224,0.2971,0.0393,0.048,0.0,0.4343,0.0,0.4343,0.5657,0.0,0.0,0.5815,0.4185
3101703,0.2904,0.3176,0.0,0.3176,0.3045,0.039,0.0485,0.0,0.4255,0.0,0.4255,0.5745,0.0,0.0,0.5862,0.4138
3101704,0.2918,0.3238,0.0,0.3238,0.2943,0.04,0.05,0.0,0.4385,0.0,0.4385,0.5615,0.0,0.0,0.5811,0.4189
3101705,0.2945,0.3271,0.0,0.3271,0.2957,0.0371,0.0456,0.0,0.4358,0.0,0.4358,0.5642,0.0,0.0,0.5792,0.4208
3104701,0.2874,0.332,0.0,0.332,0.303,0.0333,0.0443,0.0,0.4356,0.0,0.4356,0.5644,0.0,0.0,0.5802,0.4198
3104702,0.2904,0.3313,0.0,0.3313,0.3033,0.0321,0.043,0.0,0.4334,0.0,0.4334,0.5666,0.0,0.0,0.5826,0.4174
3104703,0.2897,0.3159,0.0,0.3159,0.3128,0.0349,0.0468,0.0,0.4177,0.0,0.4177,0.5823,0.0,0.0,0.5952,0.4048
3104704,0.2868,0.3332,0.0,0.3332,0.3018,0.0333,0.0448,0.0,0.4375,0.0,0.4375,0.5625,0.0,0.0,0.5786,0.4214
3104705,0.292,0.3177,0.0,0.3177,0.3095,0.0346,0.0461,0.0,0.4216,0.0,0.4216,0.5784,0.0,0.0,0.5944,0.4056
3104707,0.2837,0.3373,0.0,0.3373,0.3027,0.0324,0.0439,0.0,0.4397,0.0,0.4397,0.5603,0.0,0.0,0.5746,0.4254
3104708,0.2888,0.3246,0.0,0.3246,0.307,0.0344,0.0453,0.0,0.4286,0.0,0.4286,0.5714,0.0,0.0,0.5868,0.4132
3104709,0.2884,0.3265,0.0,0.3265,0.305,0.0344,0.0458,0.0,0.4325,0.0,0.4325,0.5675,0.0,0.0,0.5825,0.4175
3104710,0.2918,0.3324,0.0,0.3324,0.2983,0.0333,0.0441,0.0,0.4404,0.0,0.4404,0.5596,0.0,0.0,0.5793,0.4207
3104711,0.2793,0.3335,0.0,0.3335,0.3074,0.0339,0.0458,0.0,0.4344,0.0,0.4344,0.5656,0.0,0.0,0.5762,0.4238
3104712,0.2888,0.3329,0.0,0.3329,0.2987,0.0339,0.0457,0.0,0.4404,0.0,0.4404,0.5596,0.0,0.0,0.578,0.422
3104713,0.285,0.3337,0.0,0.3337,0.3022,0.0334,0.0457,0.0,0.4387,0.0,0.4387,0.5613,0.0,0.0,0.5775,0.4225
3104714,0.2887,0.3378,0.0,0.3378,0.2984,0.032,0.0431,0.0,0.4429,0.0,0.4429,0.5571,0.0,0.0,0.5754,0.4246
3104715,0.2829,0.3329,0.0,0.3329,0.3078,0.0324,0.0439,0.0,0.4321,0.0,0.4321,0.5679,0.0,0.0,0.5794,0.4206
3104716,0.2876,0.3409,0.0,0.3409,0.3002,0.0303,0.0409,0.0,0.4421,0.0,0.4421,0.5579,0.0,0.0,0.5737,0.4263
3104717,0.284,0.3268,0.0,0.3268,0.3102,0.0337,0.0453,0.0,0.4265,0.0,0.4265,0.5735,0.0,0.0,0.5844,0.4156
