pp_name,premises,latitude,longitude
Abbotsford,Collingwood Town Hall,-37.80391428,144.9925578
Aberdeen,Geelong Lutheran College - St John's Newtown,-38.14725093,144.3471345
Aberfeldie,Aberfeldie Primary School,-37.75657584,144.8955942
Aireys Inlet,Aireys Inlet Community Centre,-38.45638808,144.1074684
Airport West,St Christopher's Catholic Primary School,-37.72597764,144.8801463
Alamanda,Alamanda K-9 College,-37.90823647,144.7414908
Alamein,Craig Family Centre,-37.86650569,145.0841478
Albanvale,Albanvale Primary School,-37.74419482,144.7750122
Alberton,Alberton Primary School,-38.61758635,146.6665886
Albion,Albion Primary School,-37.77801722,144.8200319
Albion North,Albion North Primary School,-37.76221536,144.8225051
Aldercourt,Aldercourt Primary School,-38.11746457,145.1611393
Alexandra,Alexandra Secondary College,-37.1951505,145.7011789
Alfredton,McCallum Community Centre,-37.55764217,143.8128584
Alfredton West,Alfredton Primary School,-37.55480626,143.8022055
Alfredton West,Alfredton Primary School,-37.55480626,143.8022055
Allansford,Allansford Primary School,-38.38616359,142.5907099
Alma,Alma Road Community House,-37.86333761,145.0073016
Alphington,Alphington Primary School,-37.78318735,145.0327403
Alphington North,Alfred Nuttall Kindergarten,-37.77195719,145.0222359
Altona,Altona Primary School,-37.86802312,144.82204
Altona Bay,Altona Green Primary School,-37.88681411,144.7849513
Altona Meadows,Altona Meadows Primary School,-37.86871893,144.7797029
Altona Meadows CC,Altona Meadows Community Centre,-37.87760699,144.7831389
Altona North,Altona North Primary School,-37.83684297,144.8492019
Altona West,Altona P-9 College,-37.86296894,144.8177596
Amphitheatre,Amphitheatre Mechanics Institute,-37.18277674,143.3993898
Amstel,St Peter's Catholic Co-Ed College,-38.1098187,145.2584696
Anakie,Anakie Community House,-37.91289807,144.2553648
Anglesea,Anglesea Memorial Hall,-38.40978908,144.1849998
Antonio Park,Antonio Park Primary School,-37.81621006,145.2056259
Antwerp,Antwerp Public Hall,-36.2950307,142.0221548
Apollo Bay,Apollo Bay Leisure Centre,-38.75284736,143.6601376
Apollo Parkways,Apollo Parkways Primary School,-37.68719187,145.1085878
Apsley,Apsley Hall,-36.96795797,141.082024
Ararat,Ararat Senior Citizens Clubrooms,-37.28361415,142.9325894
Ararat West,Ararat Secondary College,-37.28545854,142.9220728
Arawata,Arawata Public Hall,-38.39458152,145.8701065
Ardeer,Ardeer Primary School,-37.78157275,144.7997485
Ardeer South,Ardeer South Primary School,-37.78832432,144.7997416
Ardmona,Ardmona Primary School,-36.38543394,145.3132655
Armadale,Armadale Primary School,-37.85200333,145.0178457
Armadale East,St Joseph's Primary School,-37.85817506,145.0312845
Armstrong Creek,Geelong Lutheran College,-38.23044542,144.3389044
Armstrong Creek East,Oberon High School,-38.23138904,144.364162
Arthurs Creek,Arthurs Creek Primary School,-37.57928338,145.2024401
Ascot Vale Central,St Mary's Catholic Primary School,-37.77433586,144.9115806
Ascot Vale East,Ascot Vale Uniting Church,-37.77228703,144.9222529
Ashburton,Ashburton Primary School,-37.86218102,145.0842876
Ashley Park,Ashley Park Primary School,-37.61422514,145.1281374
Ashwood,Ashwood High School,-37.86332214,145.1034057
